Tweet,emotion
"The best revenge is to move on, get over it, and continue to succeed. Never give someone the satisfaction of watching you suffer.",joy
Constantly fucking boiling and it's not ok,sadness
"*in the car with mariah, the bass is literally shaking the windows, hard rap blasting, no one is talking, looking straight ahead*",other
@AHSFX thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6 ,sadness
Just paid for chicken at @panerabread and didn't even get any 😑😑😑 there goes 4 dollars and me as a customer ,sadness
@punjabified porkistan lost terribly in 65 because of american intervation to talk we stopped,other
@Budget  car rental you have made realize why I always use @nationalcares!!!!  What a #nightmare!!  #disgusted,sadness
"Coworker: 'That happened to a friend of mine once, but with guns instead of babies.' #workplace ",other
Always borrow money from a pessimist; he doesn't expect to be paid back.,other
7 pax enjoyed the #gloom @Clayorangecrush @F3LakeMurray,joy
The #most wasteful day is a #day without #laughter,joy
Condolences to the  JC and the Georges family.. ,sadness
"@rabpeel snap, seems to be a problem here",anger
@BigBossPeltonen \nLikewise #death #cutting #despair,sadness
Crossword puzzle is oat meals solitary respecting the flat out portentous nutrient rootstock re scruple failur...,other
They gonna give this KKk police bitch the minimum sentence..just wattch ,anger
"@NigeriainfoFM #start football league, I think we should talk about the managers way of selection",other
#Aleppo city is burning. The head of #terrorism #Assad regime &amp; #Russia are bombarding the city right now with #whitephosphrus #bombs !,sadness
@TheOneSoleShoe You're doing a terrible job exemplifying the values you espouse. Yesterday you lamented losing a generation of voters...,sadness
Been a while since I been sober. This life can be so hard,sadness
@ATTCares why do I have 2 wait 48 hours to call YOU back to cancel an order I JUST placed after already spending 2 hours on the phone?! ,sadness
I feel like an appendix. I don't have a purpose.  #depressed  #alone #lonely #broken  #cry #hurt #crying #life,sadness
"@CBSThisMorning @newsgirl123456 again, profiling DOESN'T discourage (September 20, 2016; 18:41 EDT)  #TRUMP #FAIL",sadness
#travelfail #virgin #virginaus and #etihad #nightmare ... And now we're also delayed. #obvs 🙄😠,anger
#tulsa - Police manufacture murder... Wonder why we carry burners...? - MaxLevelz ,anger
"Dehydrated, exhausted, stressed but still blessed. #optimism",other
US you need to band together not apart #nevertrump he promotes hatred and fuels ,anger
Feeling like I've had the worst night of sleep ever - not great before the #London to #Brighton #cycle ride for @DMTFYP 🚴100k ?,sadness
"@ShannonBeador we know the truth about her, the public is figuring it out. Her words mean nothing.  #unhappy #mean #troubled #vile #bully",sadness
@Dak2future decorations are up all over Jersey already ,joy
Are you serious??,other
@keyshamackie it's fucking dreadful for live footy matches,anger
@Sophiejulia @CalebAtChipotle @calebpressleyxo relentless pipe thirst #sheltered,other
"@falklands_utd @mauriciomacri \nbecause distrust in life , Argentina has a lot of heart and this President is worth every vote.",other
"She's foaming at the lips the one between her hips @realobietrice, one of many great lyrics",joy
"@simslover163 I guess it must be really expensive... For me it's that the whole family stayed in Poland, so I really miss them...",sadness
JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics ,other
@LmRyle @tomcolicchio @realDonaldTrump @HillaryClinton @ajjaffe I understand your concerns but look at her foundation contributions ,anger
"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM  #HuckFP2",anger
@AaliyahLove69 I would be intimidated but I would like to think I would have manned up and helped.,other
Fake people irritate me,anger
"@News24 #FMF protesters aren't interested in reasoned debate, just #intimidation #violence &amp; #disruption to get demands met",anger
Lunatic Asylum: The place where optimism most flourishes.,other
Damn gud #premiere #LethalWeapon...#funny and #serious,joy
@UndeadLayne @Lauren_Southern all the bully,anger
Why is it when you nap during the day you are so comfortable but sleeping at night you'll never be as comfortable ,sadness
and claimed that all of the same things could scare us\nbut we were tough because of ancestry,other
It appears my fire alarm disapproves of my cooking style,sadness
"“Be #positive, #cheerful, #grateful and expectant.” @NightingaleEarl  #Success #Leadership",joy
Relive Vegas' heyday with Rat Pack tribute,joy
We're going to get City in the next round for a revenge.,anger
"#Trump is #afraid of the big, bad #Hillary. #election #PresidentialDebate #PresidentialElection2016 #orangehitler #skip #hide #coward #fear",anger
I only have to wave a fiery cross and we will f**kin' do this!,anger
"@LaureEve I am sitting here wrapped in a fluffy blanket, with incense burning, listening to Bon Iver and drinking mulled wine. I'm there.",joy
"We, #Indians, can hold our heads up high and stay unafraid. The #UNGA is well-informed about #Pakistan's #terrorism business and deception.",joy
"Petition for non-Maghrebi PoC to stop buying 'couscous' from white grocery stores and boiling it. That is not couscous, that is trash.",anger
"@MrHenvin Thank you, happy birthday to you as well!",joy
Watch this amazing live.ly broadcast by @iamjustinburke  #musically,joy
"@strangerpeace We'll have a ceremony next time we meet. It'll involve burning something, then possibly booze and/or caffeine.",joy
How I Murdered Your Mother #SpookyTv ,other
"I really love the customer service @LifeProof they're always so nice, helpful and cheerful !",joy
Dear @TfL please tell your bus drivers if obstruction on their side DON'T just pull out to oncoming traffic causing vehs to swerve #fuming 😡,anger
#TerrorStatePak @sardesairajdeep Pakistan invitadated 4 times in India and why we worry to invade our own land #PoK?  Which is disputed.,other
Literally dying &amp; living at the same time as I catch up on @adrian_ver 's twitter. If you aren't following him your life is BASIC. ,joy
@wesrucker247 sounds like a good game plan for our offense....,joy
alternate reality where @PoetryFound has a comments section and you can give poems a cheery thumbs up or a disappointed thumbs down,sadness
I'm literally never home and my parents threaten to charge rent if I don't start cleaning the house everyday. OK.,other
Pochettino buoyant. Complimentary about his young players. But says 'now our attention turns to Middlesbrough'. #THFC @BBCLondonSport,joy
@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. #nervous,other
"@MagicalMunicorn May I suggest, that you have a meal that is made with beans, onions &amp; garlic, the day before class. #revenge",anger
@julwhite chirp chirp! :),joy
I'm just tryna watch horror movies and nap all day,other
@jdwmaguire 'They will be a formidable challenge' Roy Hodgson on Northampton Town *shudders*,other
I highly suggest if you are looking online for a company to help you send you're package overseas..DO NOT EVER EVER USE @FastLaneInt ,anger
"She began to squirm beneath @hcllbent, struggling to get out of his relentless grasp. When she realized that the attempt was useless,++",sadness
I'm the reason I smile everyday 💯,joy
"As I remember and reflect on Reginald Denny on a night much like this (like #Charlotte) I think to myself, the gun lobby must be rejoicing.",joy
@johnaugust @clmazin I was so looking forward to @ABCDesignated. Then it opened with a #stuartspecial. I literally yelled at my tv. #umbrage,anger
"@TheMoosesAngel He looks down at his brother, a smile forming on his face. 'What? People fearing me?'",joy
something about opening mail is just...very pleasing,joy
I love my family so much #lucky #grateful #smartassfamily #hilarious #love,joy
Every Wednesday I like to visit the inmates at Arkham. Deliver a fruit basket. And a cheery bouquet of enhanced interrogation.,joy
When you have 15 doe run the opposite side of you 🙁 #depression,sadness
@DaddyION you and that awful music can take a walk... right off a cliff. K. 😘,anger
@simondawkins23 @Titchlar81 clicked the wrong side was fuming 😭,sadness
Day 9 and I am elated because I'm taking PTO tomorrow so I'm doneeeee. But:,joy
"A pessimist sees the difficulty in every opportunity, an optimist sees the opportunity in every difficulty' -Sir Winston Churchill-",other
@pxrfectpeach it's got her little pout,joy
@DumTeeDum don't think Ian knew of Pavel. He knew about Charlie. I bet Rob will cackle with glee when he heard what has happened #thearchers,joy
@OC_Transpo some weeks there are no problems but this week is unbelievable -- are you guys even running regular 12 buses?  #solate,sadness
I base when it's going to rain here off of brills snap stories.,other
@beingbrilliant @johnmurrays you're welcome. It's genuinely made me give my head a wobble and realise what's important in life. ,joy
@MarianKeyes maybe he had constipation issues..? Not that I KNOW dates relieve such an affliction! No way jose!,joy
Obama admin rejects Texas plan to have refugees vetted for terrorism so Texas pulls of of fed refugee resettlement program. Aiding #terror.,other
"@ggreenwald Smh, remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts. #anger",anger
@danhirtle @Bell Another unhappy customer.  #secreteyes,sadness
@GCC_DiscGolf lost my xt nova around hole 8 or 9 #sadness,sadness
"@jmomahony thank you for your support, but it was not an attempt at levity.",other
"@humeraslam @MehrTarar @sherryrehman , yes, already he spoke so many lies with timid body language. Baluchistan could have been his own trap",other
At #UNGA Pakistan clearly shows the face of cowardliness and blatant lies! Its time for #India to act upon terror.,anger
"AQW should've always stayed in the 08 art style, now it's just a competition to create more detailed art each time.",joy
@StrangeFacesLA why doesn't this account follow me ,sadness
@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I 🙈  #soreloser,sadness
Ughhh love a clean house and my incense lit aromatherapy,joy
Not untill today has anyone ever said to me they remember what I had on over 7 years ago when they met me n liked me since #cutealert #happy,joy
ugh!! this is the worst!! i didn't read at all this whole first month of school and i have a unit test on friday!!! awe man!!,sadness
@rtrn94 Mine is that the party did decide but the party has been slowly transformed into a vengeful hell-cult of white male resentment,anger
@AllredMD @KerryCallen @thismanthispete Kirby's Black Panther in a cool animated panel.,joy
You can't fight the elephants until you have wrestled the pigs. #quoteoftheday ,other
... flat party and I instantly get bollocked about it. #fuming,anger
"@SloanTheOtaku Betelgeuse/Sloth was lively, dedicated and tenacious, Regulus/Greed is humbly content and Ley/Gluttony is starving hungry.",sadness
"Dehydrated, exhausted, stressed but still blessed. ",sadness
@shopgreenwich #ldf16 what shall we do this weekend?  #spraypainting in #greenwichmarket with @SNUB23 #core246 #lilylou #fret &amp; #benoakley,joy
"@paige_christian awe man, when are you free then? ☹️️☹️️☹️️💘💘💘",sadness
@MarissaYerton wanna shake my tree??? 🍑🍑🍑🍑,joy
@KurakkuSora he is.\nSure his mind was clouded but...],sadness
@The_Nasty_P now you gotta do that with fast n furious,anger
The 2008 crisis was just the tremor In advance of the earthquake',other
@ScottCarmichae1 @Murican_Stuff don't fret -- this guy is mad because when @realDonaldTrump  is elected he might have to get a real job,sadness
@1BearTruth standard bitter response .... how's it feel to be the small club in a big city,sadness
I refuse to be a chirp chirp girl,other
@FraserKeegan just had a steak pie supper #tremendous,joy
Use your smile to change the world. Don't let the world change your smile.' #quote #actorslife  #love #hardworkpaysoff #fun,joy
The #Texans should never play a prime time game again...this is #awful #TNF,sadness
Ffs 🙈 when things come back to haunt you... cringe bad cringe 🙋🏼👀🔫 👈 what a terrible gun that is,anger
This is a beautiful day that the Lord has made. I will rejoice and be glad!!!,joy
"Searching for someone to date ― on Tinder, at a bar, through friends ― can feel like an absurd nightmare. Or, at least, a series of",other
Never let me see you frown,anger
"A country that gave safe house to #Osama Bin #Laden is dangerous if not contained. #Pakistan is a #terror heaven, declare so @BanKimoon_amdg",anger
#GADOT please put a left turn signal at Williams and Ivan Allen Jr Blvd. This is absolutely ridiculous #ATLtraffic ,anger
Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps,anger
@HillaryClinton Yeah U gotta make them HEEL. I know U need their votes so U have to wait. But when U LOSE-they're really in for your wrath !,other
#haikuchallenge #haiku\n\nThe crisp autumn air\nMy freedom purchased through death\nNo one will mourn me,sadness
No episode today! Whilst editing there was a power outage! We will rebuild...tomorrow #podcast #lost #editing #fail #tomorrow,sadness
I honestly feel nothing towards either of my parents and it's pretty depressing,sadness
If I could turn anxiety off--I would. #nooneunderstands ,sadness
@noris_prosk8r2 (Maybe don't provoke him in the future if you do not want to run the risk of him punching your board.),anger
Karev better not be out!!! Or I am seriously done DONE with @GreysABC  #angry #unfair #ugh,anger
"If someone keeps #laughing at you, don't #fret  . At least u r giving #happiness .'\n#quotes #quotestoliveby",joy
Some People hate nothing more than a happy confident person. Never mind  #confident,joy
Think I really broke young bull hurt 😂😂😭😭 u can tell by how bitter and mad he is 😊😊😩😩,sadness
"But 'for me not to worry, they'll get a glass guy over and bill us for it'",other
"@andrewmcmeme nah, I asked really insightful teacherly questions so he could write a kickass report of his own. He will, sadly, never know",sadness
@KateyKeegan now I'm really excited for November! Hope they're not all horrid chavs though 😅,joy
I got a short fuse when im sober.,sadness
"god, Facebook's design has started to remind me of MySpace in its heyday",other
@97_aleix having a terrific game and not at all fazed #MCFC,joy
@ankitaverma45 @honey5991 rejoicing over someone's sadness is bad but when #Karma  is cencerned then definitely some people deserve it..,sadness
@caeruleusV @Atheist_Penguin @misogynaut I threaten you because I can pussy,anger
Did you know apples turn brown when a enzyme called polyphenol oxidase reacts with oxygen! Well I do #dull #applefacts 🤓🍏,joy
"My house isnt always a mess but when it is, its when i have friends coming #mess #serious #twitter #problem #like #friends #filthy #home",other
@ChurdAllan fucked my coupon that goal! ,anger
Loading mirth out to be trusted websites: LKskQUfke,other
"She gave a playful wink, taking the goggles off her head, swinging them around her finger. 'I would never~' @VerminEngineer",joy
Ready for my sweet princess to arrive. I'll he 37 weeks this Saturday! #excited #nervous,joy
Reflection: the grind has been so REAL! Working 2 jobs &amp; being in school. #ksudsm #ksu #recruiter #instructor #tumble #cheer #gradschool,joy
"Aberdeen st Johnstone, let's see who can punt it the furthest #awful",anger
I always dread Wednesday's and the always end up making me the happiest,joy
Go help the cause.@plantingaseed.net. #recovery  #sober #addiction,sadness
I just got murdered in madden. 🤕,other
@TweeriaLee A stumbling block to the pessimist is a stepping stone to the optimist.,other
Listening to Joey really helps me and my anger.,other
@JamieRJN She's all over the political map in her relentless pursuit of power.,other
"@comicfire The thing is, it's either I be unproductive and unhappy, or deal with some videos that do badly.",sadness
@shwood @mpforstein OMD you 2 are cracking me up! Thanks for the follow Brian. I need some levity to balance the cynicism I share w/Michael😀,joy
jesus ok an alarming percentage of my teachers ths year dont have a  s ingle thoughtful bone in their bodies . its gonna b an interesting yr,anger
@FieldYates @MatthewBerryTMR @Stephania_ESPN @MikeClayNFL @FrankCaliendo goddamn...the 'celebrity' draft at the end was classic. ,joy
Another joyful encounter in Tribez &amp; Castlez! I just met Bartolomeo! Do you want to know who that is? Download the game and find out!,joy
@Pamela_Moore13 @Ginlefebvre @BarackObama yes exactly &amp; he's sold out this country to #terror while #lying to cover it up,anger
@Bwana86 I can fear that someone is always following me everywhere I go. Does that make it true??,other
@BoudicaRides @realkingrobbo Isn't that exactly what they should do? What took so long? He is more #afraid of #ClintonMafia than #Congress,other
"Woke by #nightmare @ 3AM, couldn't sleep any more, so took a #UseAllTheHotWaterShower. Now I have time to read.",sadness
"#TerribleDebateQuestions Madame Secretary, isn't it true that Russia is behind all terrorism?",sadness
Doesn't it just suck when you're so real to someone and try to exhilarate every ounce out of them to only see that they're not down,sadness
Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. ,anger
Farting in a hot are car when your windows don't roll down is terrible. #gag #BresAdvice,sadness
The Pats are awesome. Belichick is awesome ...they just are. #awestruck,joy
David Gilmour's biggest compliment? B.B. King asked him after a gig if he was born in Mississippi #pinkfloyd #theblues #davidgilmour #blues,joy
I seriously hope these chances Celtic are missing are going to come back to haunt them with an Alloa sucker punch,anger
Watch this amazing live.ly broadcast by @__.mila.__ #lively #musically,joy
I HATE little girls 😡😡 got a lot off growing up to do!!! #fuming,anger
After she threw me out I had to sedate her. With a damn horse tranquilizer.',anger
@BrandedByCas I was like that when I started college. It was horrific but it probably will get better. Don't give up yet,other
@WHUFC_HUB @westhamtransfer @TheHammers_ I don't see any reason for optimism at this point. Just stringing together bad performances.,sadness
"@daemondave @paulkrugman Hey stupid, that was bad intel to take Bin Laden out. Try again with your faux outrage. I bet u admire Putin right?",anger
"Collects all the times when Minerva would chew on his cape. Begins to shiver, runs a hand through his hair. \n\n'You can surely━\n@ardentflier",other
"2 biggest fears: incurable STD's and pregnancy...I mean, they're basically the same thing anyway #forlife #annoying  #weirdsmells",anger
Did you know I specialise in #anxiety  and #panic attacks? Get in touch for all of my solutions for you. #Coventry,other
Howl at the moon with @HorrorSociety at @FatCatChicago next Wednesday the 28th for a FREE double feature of SILVER BULLET and CURSED #horror,sadness
@serendipity127_ @zombiecalorie @Angel_Eyes66 I'm sensing a theme here tho lol #angry,sadness
@MoAmali @awosss @Arsenalman2011 listen I dn't subscribe to this team coq Team xhaka stuff. I like all our players. Depth has me elated,joy
"Two blankets, a hoody, and still no Eternal Sunshine to mope to.",sadness
@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life‼️ #fearful,other
India wants to #shake #hands with # pakistan ..... but as usual pakistan #cheat with every #indian \n\n..........shameless pakistan,anger
@British_Airways just came of BA6426 at @ortambo_int at least 6 passengers with broken bags. This was a new suitcase. #unhappy customer,sadness
@MlaStandard The depth that you've sunk to. You're readership deserves more.,anger
"Just popped a half bottle of 2014 @Bellawines #sparkling #gamaynoir from Westbank. Evenin', folks! \n#bcwinechat",joy
@DanLanthier That was exhilarating hockey. They're still out if Russia wins in regulation I'm reading. #fuck,anger
I wish you stayed in Da Gump I'll make you panic like the last rapper,anger
Projection is perception. See it in someone else? You also at some level have that within you. #anger ,anger
@mark_slifer actually maybe we were supposed to die and my donation saved our lives?? #optimism,other
ah #lost #mah #train of thunk.,other
"If you follow #Trump, a certified #bully there is no question you or your children may go to #War vs consumate #Diplomat @HillaryClinton",anger
"Wishing a very Happy Birthday to our awesome dancer, Ruthann!!! We hope your day is magical! #bday #happy #eatcake",joy
@theurbanologist the tunnels! I shudder to think of the grimy tweets...,sadness
@NandosSA just received order from @OrderInSA &amp; the chips are under cooked &amp; half raw!!! Usually best part of the meal #notcool #terrible,sadness
Skiving #Freshers2016 for a me day! #nails #sunbeds and #gym 😉💜👑 #priorities #student #studentnurse #pampered ,joy
"@GucciShade @KellyannePolls @ABC So?  Who cares?  Who cares about tax forms, too.  I believe terrorism and jobs are what is important.",sadness
"Open to suggestions on a good #horror movie. Just saw 31 and It follows recently, dug both. Gimme something good. #movienight #netflix",joy
@DJ_Musicologist #Disney's 1994 #animated #musical #film #TheLionKing was influenced by #WilliamShakespeare's #Hamlet. Songs by #EltonJohn.,joy
😑😑😑&lt;---- that moment you finish a Netflix series and have nothing else to watch. #depression,sadness
"Sky news still pushing the Brexit gloom line, managing to ignore the fact it's simply not happening. 'But in the future.....'",other
@judahandthelion TONIGHT. Legit can't wait to rage 🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻🔥,anger
"But when my mom told me yesterday that it was looking grim and I started driving out there, I was told to turn around b/c she was too sick",sadness
im tired of people telling me the worry about me when in fact they probably never gave a fuck about me,anger
@TaraSetmayer @oliverdarcy AA have the right of passage when it comes to the 'N' word.  Why should he insult him in his church.  Ignorant!,anger
"@Nataliem55 sadly, war has often been the factor that jump starts US economic growth",sadness
When someone rudely says all women should have long hair and your inner feminist tries not to rage,anger
"@cotsonika @NHL well, they should all be unhappy for the way they played.  Right @fmjacob ??",sadness
"The animals, the animals\nTrap trap trap till the cage is full\nThe cage is full, stay awake\nIn the dark, count mistakes",sadness
i met with an employment specialist this morning &amp; she basically told me its unlikely i'll get a job because i clearly have too much anxiety,other
@ahtareen1 @ReginalAleman @krelifa @zamansj64 @AwiexaB Very pleasing ty!,joy
"“He who is slow to anger is better than the mighty, And he who rules his spirit than he who takes a city.”\nP16:32 #bibleverse #pride ",other
@rkuuleiq Fear is best/beast product of God/s. :) #aTheism #theism #biBle  #christianity #hell #heaven #purgatory #psychology #jesus,joy
Sanatana Lopez is definitely me 😂 ,joy
"$8 million in box office doesnt do this movie justice. Political or not, #SnowdenMovie is a terrific thriller and love story. @Snowden",joy
Why upping rooms makes a few apprehend leaving out charcoal ownership: UnZU,anger
😂 - youre one of those whod bully me omg but it was all banter and we could laugh at it later haha. Youre a nice guy x,joy
"For a team as big as Bayern and the they like to play football, their pitch is fucking dreadful. Certainly no Emirates pitch anyway.",sadness
"@Slippus @PureGym  yeah I received a fine today which I am furious about, currently appealing it after being a member for so long...",anger
"And btw... I really did stay in bed all day today. #depression I hate being lied to, fuck liars. -w-",sadness
Let go of the need to need. And find your own joyous path through the richness that extends in every direction.,joy
"Don King...his actions really sadden me today...the word 'may not' have the same power to all as it once did, I still cringe when i hear it",sadness
That grudge you're holding keeps making an appearance because #God wants you to deal with it.,other
"@ScottiePass shock horror handicap dodger is at the top 😂 close on the agg cup good , but think pressure will get to mark🤔",joy
I'm girly in the sense that I always have lashes &amp; nails done but tomboy in the sense that black is my only color &amp; refuse the ruffle life,joy
"From harboring Osama bin Laden to its relationship with Haqqani network, there is enough evidence to prove Pakistan is sponsoring terrorism",anger
"@Markgatiss I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate #despair",sadness
"With only 7 months left until I possess my undergraduate degree, I feel like I can't handle adulthood anymore #anxiety #nojobsinbiology",other
"It's not that the man did not know how to juggle, he just didn't have the balls to do it.\n#funny #pun #punny #lol #hilarious",joy
@jaymohr37 droop saw naked wrestling and asked 'What if I get a hole in one?' #jaymohrsports,joy
Be #afraid of the #quiet ones they are the ones who actually #think.,other
@reinervshunter you got this💙 #staystrong #smile #yourebeautiful,joy
I love how cheery and adoring @JackHoward gets every time he produces new content.,joy
@everycolorbot more like every color looks the same #triggered #colorblind ,sadness
Might start stanning Lady Gaga again - more so than last time - but shhh don't tell Connor,joy
Fun tidbit: You can fall asleep on someone while dancing. #blues #latenight,joy
Nothing else could possibly put a damper on my day other than doing X-rays on someone with kickinnnnn ass breath 😿,anger
@ChrisWarcraft The concept that a gay magazine feels like it has to cover terrible people -because they’re gay voices- seems all upside down,anger
@harrietemmett great minds think alike. ,joy
"@Gervaisoholic But this is no easy ride for a child cries: \n'Oh, find me...find me, nothing more, \nWe are on a sullen misty moor...'",sadness
@PriiiincesssE thanks for distracting me from my paper to watch this hilarious video 😂,joy
so many 'protests for peace' going on lately but all i see is people burning down they're own cities and hometowns. Practice what u preach.,sadness
@FoxNews Very thought provoking &amp; leads one to question what really happened.Very sad for all.,sadness
@strictlysimilak something about English sparkling wine would be good. Or farmhouse cider. Or Italian cocktails. Thanks.,joy
@everton_de_leon @sterushton Genuinely grim stuff. Over a century of history sold off by some porn baron twats for a minty new stadium. Urgh,sadness
"Migraine hangover all day. Stood up to do dishes and now I'm exhausted again. GAD, depression &amp; chronic pain #anxiety #depression #pain",sadness
“What worries you masters you.” - Haddon Robinson @ChoGMinistries #Jesusisthesubject #worry #anxiety #anxious,other
i had an hour of football practice under the boiling sun and now i have 2hr volleyball practice under the BOILING SUN AGAIN,anger
"2,034 words today #amwriting #horror #novel 42,080 'Magnitude' total so far. 25Kish to go.",other
That's how you start a season that's how you open the show #show #them #how #dark #hell #can #get #Empire,other
"...at your age, the heyday in the blood is tame...' @TheArtofCharm #shakespeareaninsults #hamlet #elizabethan #williamshakespeare",other
Might just leave and aggravate bae,anger
I just wanna know why there's no outrage for black on black crime and no one knows those victims but BLM is out to kill cops based on media,sadness
"Ananya just grabbed a bible, opened it, started reading, and then said 'where do they talk about burning people?'",other
All options are on the table - #revenge is coming.,sadness
"Sometimes I can't believe I've made it this far.169 days!! I threw out my demons n got #sober #clean, n started #recovery.#Sobriety is #2.",joy
In honor of Shawty Lo passing away I made Dey Know my new alarm clock song so I wake up with the right attitude everyday lol,joy
The joyful tambourines have ceased. The noise of the jubilant has stopped. The joyful lyre has ceased. -Isaiah 24:8,sadness
"my boyfriend once forcibly stopped all of my anxiety coping methods at once (holding me, forcing my hands down that kinda stuff) and I --",sadness
Henny and pine apples 🤔,other
@russbully Ended up paying 75p for half a tube of smarties. Don't even get the pleasure of popping the plastic lid off either ,anger
"But this is the internet age, so get mad out of any and all proportion and assume the terrible worst with little to no facts or knowledge.",anger
@missmeliss465 @WellWeds @siggyflicker @whispernghope @mcrichard awe I feel so bad being naive ou is the worst,sadness
Rooney = whipping boy. #mufc #sad,sadness
@scotydoesntkn0 start buying Death Wish Coffee and shake hands with espresso every now and then.,joy
Threat factors in respect to provocation bulb worm: BnQo,other
"No #gbbo from us tonight sadly, we've got a date with some nachos @ODEONCinemas #BridgetJonesBaby",sadness
"@JimRichMoriarty + I am in your life! *He yells* Surprise, surpriiise! *He chirps cheerfully, with a wicked grin on his lips*",joy
@zinabukvic_ cheer up,joy
"@WellerMonica Hi Monica, I write regularly for @ctysmallholding  - but not on bees - never dared try them #buzz #sting #HONEY",other
@GreggDoyelStar I'm sure you'll have a heyday if they do,other
@ibishotelsuk @ibisHotels_FR @ibishotelbr @ibishotel @ibishotelBDG @ibishotel1 to give me my keys back. They aren't for my house! #shocking,anger
"#ObamaLegacy - weekly #riots and #terror attacks, &gt;400k dead #Syrians, #Jews fleeing #persecution in Europe, #Christian #genocide in ME.....",anger
Drop Snapchat names #bored #snap #swap #pics,sadness
"@nigeriaLNG @TonyAttah #lestweforget 3 yrs on, 2013 Graduate Trainee recruitment not concluded. #disappointed #weary however  #wewait",sadness
Happy Birthday @Brooke56_56  #cheerchick #jeep #jeepgirl #IDriveAJeep #jeepjeep #Cheer,joy
@qdoba omg I'm so slow bc my eng is not very well and my hands are shaking uhh help meee I'm like this lil chicken now 🐥#MoreisBetter,sadness
@All4 is the android app it designed to be buggy and work sporadically on a fire TV box? ,anger
The true way to render ourselves #happy is to love our work and find in it our pleasure. Francoise de Motteville,joy
@happyandbashful @Teigngardener @CEVokins @gardengirllucy Don't provoke the Voke.,anger
I swear I got anger issues but my heart big AF...,anger
@sphiwememela...its bad.I am fearing for my life🙏,sadness
When health insurance won't cover TMS but they let me know they cover ECT #mentalhealth #psychology  #TMS #ECT,sadness
@itsyourgirl_Z happy birthday :) have a blessed day love from Toronto :) #bday ,joy
@KatHeartwell some don't see the difference between courting and appealing to a women vs deception &amp; pressure it's depressing,sadness
So grim being up at 6,sadness
@littlepieces Customer services got involved and eventually completely wash their hands of it. #awful #dreamornightmare,anger
Look at this #massiah of #youngleader\n#Pakistan #massiah of #terrorism,anger
"This pretentious dick in Night Gallery just fucking, used a towel to dry off his sink",anger
Another day Another flight 🙈  I swear my last ever @easyjet flight!!!! You take the LOVE out of flying #easyjet #horrific #alwaysdelayed,anger
@BeeTuppy We're sorry to hear about the issues and how this is making you feel. We don't like to hear our customers being unhappy :-( We,sadness
"We fear not the truth, even if it be gloomy, but its counterfeit.- Berl Katznelson",other
It would appear it's a good year for the #blues,joy
"I miss my gran singing Rawhide, in her deep baritone growl.",sadness
Egyptian officials expressed frustration and outrage over the Obama/Hillary administration’s support of the Muslim Brotherhood,anger
two major banking stocks down almost 15 to 20 % from their highs while benchmarks still close to top it is a sure #worry for markets,sadness
Batman the animated series is a gift from the 90s animation gods,joy
"@makemytripcare but what I am doing is in my control, #AvoidMMT , you guys are #terrible",anger
"@DevilsAdvcate @ManUtd absolutely boring.M a big Manchester United fan,  nd its really disappointing to see them play in ths dull boring way",sadness
it didn't impress me but it didn't depress me',sadness
@Kailyew hahah tiff sent me that too😂,joy
@smb_ryan @Kamper10 I couldn't care less about #GOTHAM. I haven't watched it since the mid point of season 1. #horrible,sadness
"Be joyful in hope, patient in affliction, faithful in prayer. Romans 12:12",joy
"Leave it on there, rule,nimber 1 of carpet cleaning!!!  #worsethananatomicbomb #accidentlyspillbeeronthecarpet",other
"@DouthatNYT @jbouie @DamonLinker Yes, it is bad to point out racism lest it provoke the racists.  Some racists do indeed not like it.",anger
Just seeing Alex revells face gets me angry,anger
@ducktapepr @midnightaction @juliea592 @catherinerusse2 I dread to think... #DirtyPeople,anger
"@PAKallman If you get it going with him, tag me the link please. I have a lot of friends who love following his unintentional hilarity.",joy
@Matalan when the lady in Xmas dept answers your call as 'hello mrs Xmas' yep true story #winning #Xmas #cheer #goodcustomerservice ❤ 📞👍😊,joy
"In addition to fiction, wish me luck on my research paper this semester. 15-20 pages, oh boy. #daunting",joy
@LBC - I can't read this article but headline indicates a horror story. Lock sick chavs up and throw away the key.,anger
"@mehnazt @Mel_Harder I live a life devoid of mirth. Come to think of it, there aren't enough taco bowls in my life, either.",sadness
^^^^^\n//Don't worry if your character is already taken. The RP I'm looking for is a non couple forming RP. Just a fun loving haunting.//\n^^^,joy
