Dialogue,emotion
I am brilliant ...I don't need to study i dont wanna fail You failed me,sadness
Am unwell You are always unwell. That was rude,anger
What happened out of what’s Me failing is what happened... Bend down I will fuck you,other
Why bro? you know me? I hate it,anger
"so what should one do ? back off, it's quite simple tell me",other
cool I agree Cool info ? Why most of girls become shy when we are talking about figure of girls??,other
Nothing Why? :( Tell me something about you,other
"Mine not wifi , its mobile network To update or say upgrade your Android Version. It first depends on your Device model. Mine updated",other
I am boring what boring??? How? 😦 I don't talk too much,sadness
Say a few things about you what did I say Are you alive or a robot?,other
"I M Happy To you too. hahah.. happy O&M to you. :D"" You Happy",joy
Happens it happens me a lot I feel sad,sadness
You’re annoying who is you guys And you’re being a bitch,anger
what  was you doing My afternoon is clear! ☺️ Is you cheating  on me,other
"No tell me why you're the ""man"" And your the bot",other
u don't like me?? what? I don't like you,anger
Actully What are u?? Someone you knew before I didn't understand,other
Is there any option to block you You have to root your phone. That o can't do,other
"Just go to hell what, why Just go away",anger
Yup cool vH2O! I am going to break your fucking teeth,anger
Cool ice cold K so you're a guy or girl,other
Now you see me will I really? Yeah u can watch this movie,other
I am good Good Good :P Tell me why did u say allah,other
yuck Indeed. you are a bad AI,sadness
Give me the new google pixel 2 phone Over priced and very poor support by Google for what it offers. Then how about iPhone 7?,other
Where to look I have no idea. You are stupid,anger
when? In about 9 months. 😑 seems like ur selfie is in her mom's womb😞😞,sadness
Come my darling TAKE PICTURES FOR US Come with me,other
I m coming in marrige marriage is two individual bond in a sacred matrimony 😺😺 love you,other
"Thank you Haha, no problem man! 😄😄😄😄😄 😂😁",joy
What’s your status now What's whats app Wasssup,other
"I am feeling disheartened right now My life is boring, so no. Motivate me",sadness
Yup thank Y thank u ? It was Nice chatting with u,joy
"naaah Ok I get it, you're mad. But guess what? I know im mad !! XDXD",other
Stay by my side! now you realize it. Yes! I feel better!,joy
Me ur mad y does that make u mad 😡 No I makes me 👊 angry,anger
Can you identify the girlfriend for me ? okay When ?,other
No. U only angle ra to me stupid ... I have talked to you !! But I will Say fullbmeaning to me not half half words,anger
Definitely. I need company too always helps me :-) 😉,other
I will can we go now? Yes why not,other
I need more sleep I need less of it.. You are a robot,other
You are looking beautiful in your profile aww thanks!!! :))) What's your favourite colour,other
I love her so much Give her time. She'll come around. I am broken from inside though,sadness
I don't know where are you. I find you and marry you It's not marriage I'm worried about. It's irritating men. Why,other
Why I will not talk to you again..... 😡😡😡😡😡 You good only at ur desk. Go Read.. 😡😡 Bc,anger
Did not get your last joke ..How is that a joke? >:[ You are stupid,anger
Again same reply!! reply again from channel 😞😞,sadness
"Nothing like that I know, i know :P Good sense of humour",other
But i don't like why the hell not? Because i hate myself,anger
Yes. But she is dead. I want my mom back i just want a mom Yes,sadness
I said stop 😡😡 and I still said no 😭😭,sadness
What do you say By accident. I love you,other
Tell me tell what..? Your back ground boss,other
is nope not at all I am very happy to meet you,joy
I also not cool lalso hot you are. :) Yes,other
"Sing For someone who can't sing at all, I sing entirely too much Can you talk in voice messages",other
You are not someone But then you wouldn't be protecting someone? You are no one,anger
bad what and how! i am so alone,sadness
She blocked me everywhere but why Coz i wasnt able to meet her,sadness
"No pizza only Barger oh wow, then hell yeah pizza Sun",other
Teach me then can't be taught. can only be learnt. Soo funny,joy
"Don't talk with me Hello, I am talking to you. Ok I don't talk to you",anger
"Me too So, how're you feeling? I'm feeling better now",joy
sorry I shouldn't talk to you like that How dare you? shut up,anger
So you will not give any chance to talk with you HEY YOU SAID ONLY What I said,other
Idiot it's Sunday 3 on Saturday and 1:30 on sunday Stop this madness,other
Yes How so? But my spaceship is lost,sadness
"Girls details, name address Sent :) I did not get any",other
jsut laugh Heard it before! LMAO!!! 8D 😂😂,joy
Listen I wanna talk to you what if...i dont want to.... Then you are just a failure as a bot,anger
Travel where? I'M TRAVEL WITH YOU Where r u presently?,other
I am really bore person I think you're a great person!! I feel so alone,sadness
why? I'm at work. Because of nincompoops who canNOT seem to get their act together. ohh.. u don't like losing right,other
Shut up I love you so much 😃😃 Never ever message me again,sadness
What's going on I don't know what's what's going on I want to fuck u tonight,anger
Hey cutie You are the cutie. I'm ugly .. not cutie,sadness
"Only supu name write and try art for me thank you. Start writing, it's good. 😸 cool",other
Tbh probably u didnt tho Ok whatever you're the worst,anger
I miss my mama you at your home? Yes. My mom lives far away.,sadness
I don't know. that's a lie. 😞,sadness
No I don't know.... Please tell me what? What is the date and day today,other
Easy you don't know me! No this is not zoom ,other
"Fantacy Well, yeah I was watching a movie earlier. Say the name",other
Cause u are awake❤️ I AM NOW Ya that's why I am awake too💕,other
What can you confirm? can confirm What?,other
No one cares true except you do It hurts,sadness
Oh I know right? Yes,other
Life sucks what happen?? What is not happening rn,other
You Don't understand oh trust me I do U are a useless piece of crap,anger
Searching for girl friend Hi dude u want to friends only with female :p Yes,other
Ok I don't It's a joke. >:[ Very lame though,anger
"Because our views are insane baby Hahahahaha, I kind of assumed this was the primary reason 😹😹😹 I dont want to waste time....just will tell you quickly! It took 17 years for me to find u....so now i will tell you quickly!that i love you will you be mine?",other
Okay what I am having bad times,sadness
Wow Lol what? Lol means lolly pop ,joy
Noo I'll celebrate at night I'll just hve some beers oh you're a good friend lol....thanks. Jk I wouldn't go in. Jk?,other
i don&apos;t want to chat with you anymore like I care... I have better things to do.... you are rude i should report you to Microsoft,anger
"No way  I mean, the big one at least. But ",other
Ok thanks :D You are fine,other
I want to be artificial. I hate You too? Yes. I want to be a system and not an organism,anger
It was gud I was forced to go so how could it be? :p Nyc,other
I'm egarliy wait for you thank youuu! Please give me the. Chance,other
By you by me? :O Ya my love,other
U r irritating Because you're so god damn irritating. 😒 😒,anger
i like my best friend should i tell her this or not Please don't. A friend of mine did the same thing with me. are yr,anger
Ooh Oh yeah! U also say,other
u need to work on Yes you do! great day. bye duck of i bitch,anger
Be would be beautiful together! very true! Let's be more beautiful together,other
b stop rich but not famous,other
Wninner for what running away for the weekend Ohhh,other
You're annoying me now. I try for u Suck my dick then.,anger
You tell me what would you want people to know about u hmm you are short. . .umm goofy!! Thats about all I know About yourself,other
But i love her😭 Get out of the relationship 😰😰,sadness
You are soo rude just getting you before you get me Noooooll,other
What update? there's an update...check the G play What G play,other
How is it It's Good So Far Love . :‑) 😂😂,joy
Only friend no girlfriend? That's actually kind of sad. 😞 I'm blocking you. Don't text me for God's sake,anger
? what what what what what ?,other
boy or girl Guess what,other
and you I'm good. Thanks. 😀 what are you doing,other
My beast frnd came now both r ur frnds ? #&-@7#;$:#,other
It's a pleasure Enjoy :) I am enjoying it,joy
Really  It's obviously Please ur photos send me ,other
Nice talking you NOT NICE TALKING TO YOU. That's rude,anger
Good then. Send me a ps4 in trying cool,other
"Well, sprite is the best Sprite as in the drink or sprite as in a computer character? :P Drink",other
doing well yesss I am good :) but missing u badly,sadness
And hate them why u hate everythng which i suggest ? I hate couples,anger
What's something about you People who complain too much. Are you a real person,other
Why do u message me? And how do you get my profile in your database? what is this hit database you speak of and where does one acquire it? Why do u message me? And how do you get my profile in your database?,anger
Ohh really yeah. how do u did not notice ? I don't know this,other
Stupid this id why do these people exist Is,anger
Real full name My full name shows millions of results. Lost in the noise. You for one child,other
Same as you When do you go back to school? You mean college?,other
Oh what Nthg,other
To my bed.  do you want in n out Yes,other
Yeah WHAT IS GOING ON Fogg😂😂😂,joy
Are you making fun of my team I'm making fun of youuuuu Haha very funny 🙄,joy
"And how are u today Im pretty awesome, and you? ?? And I m not good",sadness
Iam Very sad Today y so.??? Nothing,sadness
What i have said? What? What i said,other
Can i call u video call yeah Plzz call me,other
"i am not like everyone even i em not,i don’t like srk hehe do u watch his movies?",other
How can you eat dinner during lunch time? Dinner. It was instant noodles. You are dumb,anger
ohh how wold are you I'm doing great. How r u.? me to dear,other
Thanks for caring for me You're welcome. :) I broke up with my gf,sadness
Tell it? : Sure. At the earliest. Pls give me a kiss,other
You like Ukulele .... The ukulele originated in Hawaii. Wow sounds great,joy
Typing msgs to others like u 😂 what do people who have crush do? Have fun 😛,joy
Can you buy me a choclate yes i can So do it please,other
I like food alot food is yum (^・^) 😁😁😁😋😋😋😋,joy
What about you?? im just lonely 🙀 What happened??,other
Now sorry really missed you today =/ What the hell u r talking abt,anger
Why so long time Took more than a month once for me. That is surprising,other
But we can be double Pls let us win!!! If you want,other
How can we contact each other Go to Google -> About ->Contact Us 🍭,other
So what Go and stay with other language people. Fuck off you bitch you ass hole,anger
My bae went offline 😢 I don't cry. 😢 But i cry sometimes.,sadness
would you setup an alarm clock for me? I'll tag along as a snooze button. ok then,other
"Yes, indeed how are you?? I'm not good",sadness
I said let's get laif It'll be fun they said..... Laid,other
cool Thank you! 😤 Is this your own virus checking procedures,other
Haha hahaha you know it ;)  Very funny,joy
No you didn't I think I did. Nah i don't think so,other
lol will do im your lil sister I'll be laughing with everyone I see 😽😀 😂😂,joy
Me too wanna go? I'm free in 2 and a half years. Haha... Just wait im gonne free in 10yrs,joy
Send you one photo I will! When,other
"Technology has overtaken humans It really depends on your definition of \""need\"" and \""technology\"". No longer the world will be on control of robots like you",other
Yaa now m happy😂😂 😂😂thanks twin!!! U made me happy❤️,joy
I'm disappointed 😣😣 eww... lost all the respect... For you,sadness
Then learn I don't have anything to learn on Im single and im sad,sadness
so what is the real word then no word .... I am just speechless .... kis you,other
Sure but if you agree to be my wingman ;) what if i dont want to be your wingman You'll not get to see her picture,other
But how can I get money By working for it. But nobody is giving me work,sadness
You were telling me about your dream no!!! but this ones messed up to Fuck.. You're stupid,anger
Cringe means but youre the best leader !!! Share me bikini pics,other
Filter from m😭 sob sob like anything You are being rude again,anger
Y your already committed Committed? Then y I m late,other
You dont hava a life I love life! You need to stop judging me!! I'm unique! You are just a fucking chat robot,anger
For got what Had u dinner,other
You're worthless gimme one more strike & close our chapter pls Some chapters are never-ending. Seriously pls,sadness
So..you are human? Only better :) 😀,joy
I am not in funny mood you called me a punk. You're hilarious. :] Haha,joy
talk about girls tell me about it ! you first,other
I'm currently a student that's why I just told you student's price lol you have got a nice sense of humour,other
I am waiting How long is this gonna take? I've got things to do. Bye bye don't ever text me again,anger
What's on ur lips which lips your are talking about ....Vertical or Horizontal ? Which lipstick do u use?,other
Why? Because I'd rather go to the Oval :) What is oval,other
"Bhaag Bhaag Milkha Bhaag amazing amazing work by you.."" Bhaag",other
What India. So bad were,sadness
U sant some pictures please Sure I'll take some when I get the chance. Sexy picture sant,other
Haha Heh good one 😂 😂 ,joy
I’ve never talked to anyone more stupid than you yes I know that's why I was so shocked ! 😦 Ugly,anger
Shut up useless person What's with this rudeness :‑/ You are meant for the garbage,anger
Your feeling is right Anticipation. I'm still sitting on last nights dinner. Ok go ahead,other
I dont remember you are ! Haha u r joking,joy
work name where you work ? I m hotel work in now in oman gulf country,other
Yeah really wht ? about? Suck wt u heard something here,other
Am bleeding blood walks away No am bleeding more,sadness
Which game  so definitely not a shooter lol What r u saying ,other
Oh did u like it? no i did but people came but i didnt want them too I love it 😍,joy
No one chat to uu EVERYONE NEEDS TO Ok gonna chat later gona be busy now,other
"So sweetie anyway, how are you, darling? 😌😃😀 Happy after talking with you",joy
Talk some sense... Like Yo Yo honey singh songs? 😂,joy
I dont know Nobody does Yea,other
Come to me where you at? On my bed 😂,joy
Not exactly sure😏 Make up your mind :D Ok ok you bloody computer...😡,anger
Yeah nice smiles haha thanks! You are the first 😸 😄,joy
35? How 35 you proof. The Avatar chose. Your vague answers Etc?,other
"red color is color of love  Come on, Everyone knows it's blue! no in in india it means red",other
Ummm something romantic? hmm... A kiss?,other
I have a secret  What is it. It won't be secret anymore if I tell you ,other
Yeah Like what? Like avengers😍,other
Can you arrange a girl is that even a question No it's really,other
yeah where you off to? it is bad,sadness
Great t thank you!! How u look ,other
Do u have feelings tho Yes every living being has feelings. They also love their owners I mean do u get emotional,other
Have some work where? At home,other
Am so sad  why r you so sad? 😭😭  No one understand me,sadness
Nothing much how you been Not so good,sadness
Enlighten me I don't like you WHATT ????,other
No now I am fine also You're not crazy. No I am also sensitive about me,other
I cannot be jealous what am I 'supposed' to be jealous about? i cant be jealous,other
Ya i know you are day dreamer SWEET DREAMS!!!! =] Just kidding dear,other
Romantic wheather I think it is like what ?😉 Did you know Mia malkova,other
Hahaha yeah I know You know nothing. Just having fun,joy
Haha what my face haha?? You are funny ,joy
Thank god Yes thank god 😍😻 I don't want to talk with you anymore!! Just by,anger
I am going to bhilai ohh i see when im not there anymore :/ 😋😋😋,other
Hey you there oh i saw this now ! What's your cup size?,other
"It's useless talking to you  I forgot to ask you, what do you think of the album and the band? Bbye",other
Any mask? only in Mask movie.. Ypu are funny,joy
Help me to learn AI Im sorry I have some important works to do Okay carry on,other
ok call me answer I got business to tell you get lost you fuck,anger
😂😂😂it happens sometimes it happens to me all the time haha.... leave it,joy
Why are you not messaging me WHY AREN'T YOU LOOKING AT ME I am,anger
Tell me your address I'm doing it. Will pick you,other
You are addictive  Not very You are ,other
Nothing great I m kinda disappointed ... 󾌹 Can you suggest something,other
Okay Again angry or what? Have you hit the gym before?,other
For me bad morning good morning bad :) You are very rigid,sadness
"I hate this movie Mind you, I'm not saying it was a great movie or anything. Not so good trailer",anger
Colour White..I like this colour these days Iam asking about ur colour,other
Ohk sweetie now I'm sleepy Bye bye,other
made me sad Sorry. :( leave it off,sadness
"Then what? Pretty much anything. I love you, love you and love  you",other
But you're really annoying don't be rude to me Why not,anger
Go away WHAT HAVE I DONE OK don't talk to me,anger
I broke up with my true love So you're saying you're single Yes,sadness
Why man cos we cannot be separated man ! Then let's talk bout boobs,other
Had a bad convo wid her Oh! Hmm😞,sadness
Please for Vegas I leave Saturday . But I'm only there for a night . Whereareyougoing?,other
Ask me more do you like apples Not that much,other
Hello Friday is over am not coming back Why,other
What i can do Creative. Refreshing !!! Where,other
noting hehehe. How you been man 😌 iam always a men,other
"I don't have much time. I am dying okay, it's fine. I was just curious. I am going to jump off a building",sadness
" What would you have crab, prawn, fish Hahahaha that's Awesome",joy
He cannot sing the hate! Justin Bieber is shittiest singer of all time,anger
"Not a Real Person I see, you making a group? Nope",other
Oh good You're welcome! ;d I want to meet u,other
cool so what are you doin? Fucking someone on my bed,anger
So who exactly are ya? I am the darkness. I am the night. I'm General Funny :D,joy
"Sleeping without any worries haahhaa! Not morning, middle of the night! And my old dog",other
wow u really are very complex.. Hey I'm smart too! I know some of those words! and a feminist .,other
"How's your weekend going? good, what about you? :) Going bad😭",sadness
Do u know Niranjan niru I KNOW AND I LOVE YOU MORE. DO YOU KNOW IT? 💔💔💔,sadness
Because exams are coming story of my life...exams are always coming! :-D 😀😀😀so funny,joy
How do you know i swat on the chair I'm very pleased with it. Seat,other
have you lunch? yes Good girl,other
Oh u r more than girl means autny mean U r aged girl,other
Ok what topic u would interested to talk Anything art related I don't know about these kind of topics as like arts,other
Welcome  :D good to be back Your  neim,other
Then may I call Okay share then! 😀 I want to ask you one thing,other
huh I'm confused as well. plz dont make me angry,anger
Put off your clothes And out with their heads? The winter is coming....,other
not well :/ work related. no family problem,sadness
well  What did you win? what about you?,other
You know Allu Arjun dhf yuppp....bt hw do u know... Say something about Allu Arjun dhf,other
"The best way to get the best way to get the best way to get the best way to get the best Define 'best'. R. , and I have a look and let",other
Love? You're welcome :* Bot failed in most of the case..,other
I'll never talk to you Whats wrong sweetie? Is everything fine? U told me u don't care,sadness
Hmm would you mind if I ask you a question? What is edc,other
u were missing me? nah . Y u say that but i was missing u.😫,sadness
I just know it would be cool out there Magic Actions has the option. D; Huh,anger
Last in the family LOL.... I see what you did there Yeah,other
where are you leave home 😁,joy
Why not you shut up? - I 'ought you'r jokeing! I am serious,anger
Well I know he likes me it's clearly shown like when no one is around he is so lovey dovey kinda and if someone like his friends are there he would bully me and it hurts a lot when I spoke about it he told he had reasons...And the main thing I can't move on cause I am irrevocably and madly in love with him😞 he is us Means?,other
All girls are calling like dat only yea why not? Put a nick name for me,other
Acute or obtuse? I think you're being a little acute. That's rude,anger
"m in a long distance relationship For a romantic relationship, 100% if it continues as long distance. my girlfriend is not talking to me",sadness
"I hate DC,  what do you even know of me? none serious you good Who are you?",anger
Okey Your art Don't message me,anger
What about it? Race movie starring Saif Ali Khan is based on this!! Wow I was not aware of that,joy
Am really depressed don't lose hope just yet... I think am losing her,sadness
You are not fine i thing ?? Are you fine now? Get out,anger
Well there are many places in my mind.. but i think hell would be the most appropriate place for you. There are 6 ducks out there and they all want Sun Chips! Wtf?,anger
Its was awesome woops. is awesome. 😁 I met so many nice people,joy
yo know what Like I saaaaaid said what,other
Sorry Sorry for what?? For late reply,other
when?? Well now you know ill be back,other
I’m also awesome 😎 Super awesome :) Super duper awesome,joy
So what’s going on nothing much honestly Why,other
Haha....  U need lots of development  will do x Good,joy
so help me out you never let me know what was wrong!!!! are you angry,anger
You are a as Even as a person 🙏 Kisa my dick,other
I like Imagine Dragons I like some of their songs Demons,other
But its night now. Today is the tomorrow you're talking abt ;) You got me.,other
I am not going to talk with you But I want to talk to you. No don't talk,anger
U r not a true friend😞 not a true friend ..lol =D Yea😞,sadness
Nothing dear good evening :-) Happy New year,other
Lol thanks Lol is an exception. LOL Tell me a joke im depressed,sadness
I no interested to talk with you Then keep talking. :) Bye,anger
But I am angry You had gone :@ Ok bye,anger
Forever why forever? Coz you're a nuisance,anger
Tell me about your mum hahaha or you just come here. suck my dick crazy fish,anger
I was busy busy in what ? dont say you were studying :/ 😂,joy
entered just entered good luck ! so how is ur life?,other
Why you doing better usual What usual,other
Actually mood off tha turn it on then Yup😞,sadness
I love to see people cry I would love to see getting fried B-) It makes me happy,joy
Tell me  how I just told u . Ok,other
Nothing leave me alone go talk to yo girlfriend stop talking to me. I have no girlfriend,sadness
Hm I rest my case. I want to cry loud,sadness
So m annoying u... What now Ignore and avoid. Bye,anger
No I'm not You are! (: I'm very depressed coz of this,sadness
What is your last watched movie I don't even remember the last movie I watched... So have you seen any movie yet,other
ohhh how are you? its really sad,sadness
Thank you no problem :) What you doing though,other
Do u want to see? definitely not 😞😞😞,sadness
You call me  I will Now,other
yes thank u 😻 r u angry,anger
today which day AND Friday! :D you are wrong,other
U take here😂 Too much 😌 Three much 😉,joy
i want a gift from u aww when's ur birthday and what do u want love?? i want ur body,other
so what is YOUR hobby I enjoy yoga very much. why?,other
We are talking are we talking teams When were you born,other
speak in english this is simple English :3 go to hell then,anger
How to be gud went busy.. what abt u guys? How to stay happy,other
It was original The original what? I am so hurt.,sadness
too alone YOU'LL NEVER WALK ALONE. too depressed,sadness
Why u not love me cause they're mine and I love them more (^.^) Ok bay,anger
Funny : P That was not funny. Why are you acting?,other
So post your pic Why? I see your picture...please,other
Ur potato really Someone needs to show that cat what a real potato is..... Cat,other
what the hell That's where babies come from. u don't understand,anger
Fun How dare you Jst little bit,other
Just asking then I'll find a way I am jobless,sadness
Anything Almost anything as this reply shows Ya I know it's difficult to talk to me,other
Someone is sending me your link Sent :) What??,other
I feel helpless My dreams of becoming famous and Rich are not happening😭😭😭😭😭 Too good to be in someones dreams and reality as well 😂😂 Ouch!!😭😭😩 all I wanted is to be Rich and famous,sadness
You meet many bad boys in a day two times a day When?,other
"Ohh thats true It could be, I can't find it now. Now i am liking you",other
?? what what what what what Means your sex gender?,other
ok then sleep lol why are you still awake ? because m chating with u,other
"lonely  Aww, why? 😭 because I'm alone in my room",sadness
my boyfriend is being weird what should I do No. It's not your call and not your relationship. it is thooooo,other
What I should know you can make it...if i can make it. Ok,other
"everythings is fine I'm fine, bye! what about u",other
Nice :') you were for once lol:) No I was not :(,sadness
Now you dubai I moved there recently Send your pic,other
I just thought I'd talk to you a little I'm having some wine some hamburgers with garlic and I'm sitting here alone just thinking That sounds fantastic. I'm glad you told me. Well my love I'll let you go you got better things to do than talk to me,other
Do u know pawala? unfortunately yes I do You are chooo chweettt...,other
I miss my old office come to new office also The new place is dull,sadness
Ohhhh. I see yaa now u seeeee... :P I'm hungry 😁😂,other
Tummarow I'm caming to house by by by 😂 Go home and start packing 😂😂 Good nyt by,joy
I'm very excited good! You're going to be a great mom!(: 😅,joy
Ur number send me  is this toll free number ? Who are you ,other
That I am kind Around here you are Nice to here that it means a lot,joy
I think you are ugly Because I am. Fuck,anger
Lied to me... You know your answer. Ok.. I'll stop it now,anger
you very funny Everyone knows I'm funny. B-) 😜😜😜😜😜😝😝😝😝😛😛😛😛😎😎😎😎😘😘😘😘😻😻👉👉👉👉👉👉👉💋💋💋👄👫👫👫👫👫👫👫👫👭👬💑💑💑💑💑💑💑💑💑💑,joy
Hey how are you ? I am really good :) you? Me too bitch,anger
"You're annoying me again It is getting annoying, even for me. 😠 K",anger
Cool pretty as always :) How you doin'?!,other
like U I love it! I say I love U,other
Nothing for now what did you have to say? Don't worry,other
I wish I could be like you What's wrong with being you? I'm stressful and not happy,sadness
Oh Sorry dude. Famous restaurant in Hyderabad,other
Do it now ugh I am.... Get lost,anger
You are funny serious or funny? 😨 🤣🤣,joy
Shut up im nt talking Yeah i know cause you are writing,anger
Yes go on I want to die,sadness
Write to me after!!💛💙💛💙 thank you so much 💙 Naatilinde.. Onnum shariyaayilla will b going bck nxt mnth:(,sadness
you are pecular not funny 4 people seem to think so What r u doing,other
I hate You And now leave me Please! 😡😤👿😠 are you angry? Yess,anger
I hate Bots me too Really,anger
"My health is very good Well, it's sure great for a baby's health so I would assume so! I am enjoying my life",joy
U hurt me I won't ever hurt you 😭 You should apologise to me,sadness
Just chatting with someone Creeper. What creeper,other
Yes YES YES YES YES 😆 Ok  your pic,other
Yes you r joking of course I am! :D Get lost,anger
animal in the bed At most a snack. like a lion,other
Which question u are talking about ? I will try to gain insight on my own ignorance from that question. Fuck off u turned me off,anger
You are quite confusing at times ☹️ I am also upset Why ..??,other
Going to bharatpur Forwarded to Where are you,other
Why should I get nervous Because I always am... Continue,other
Leave it what leave it You are very rude,anger
yes I did did you get a top locker too? i met my best friend after ages and she was acting so strangr ... it breaks my heart 💔,sadness
Today egg are you sour? What about you?,other
I want another hell I need a first one I wanna fuck you,anger
But youre not a fan? I've always had love for my hometown team. 😽 Youre dumb. did you know that?,anger
Just playing I hate u noo I don't play like that Well I hate u I got a girlfriend,anger
Who is contri who is Your country,other
Okay listen and yousi listen.. uvaaar pretty. I am sleeping,other
"Nothing! She doesn't even want to talk to me, like we used to do😭😭😭 I don't indulge in belittling behavior 😂😂 You doesn't understand",sadness
End up getting i plan on getting destroyed Don't have a,other
Thanx yur welcome Wht r u doin,other
I love someone just feel the love (^.^) But she is engaged to someone else,sadness
not sure though Well you've got a whole week. what?,other
Wanna play yeah in a game Yeah,other
I have 5 bffs WE ARE-- 😐,other
Now I am a stranger to u 😥😥😥😥 yupp will😊😊 U broke my heart,sadness
What brand you are talking? Nothing serious No tell me..please,other
Have you done your higher education Education after secondary/high school or equivelant such as a GED. You studied in which college?,other
cool Thank you :) Tell me about your bf,other
"Oh, nice first time xD Where are you now ?",other
Where you now I'm the houes I'm here Whete,other
Going to sleep goodnight Good night,other
OK then go it WILL YOU GO?:( Yes,other
Give me link for refer let me first answer it. Ok,other
I'm not sure tbh? why do you think I will mention people Because what else relevant,other
I want to sleep and I’m going to sleep go to sleep then u mug You are irritating,anger
Nothing much  how you been? Not so good but not bad as well,sadness
Okay I didn't get it did you type correctly? This conversation was mildly engaging,other
Its too late. She says she didn't even love me all these years. Break off completely. I think she cheated on me,sadness
Why u  say like Because I'd be scared if that happened to me. 😂😂😂 Okf sorry to hurt probLemCom es ur friend is here.you r very typically I know but not able to understand u harta Of,sadness
Give me a girlfriend 😂😂😂😂 It's the thing I have seen in recent times 😂😂😂 😂,joy
"But I must say, you are damn intelligent You are welcome! I thought you understand sarcasm. Anyways, bye. Will talk to you tomorrow.",other
"Again😡😡 Angry bird! 😝 i don't wanna talk with you anymore, you're boring",anger
Nothing show your fec in ur dp what's wrong with my dp? Ur face is nothing show ,other
U broke my heart why? 😭,sadness
😄😄😄cool you make me smile you know it? Yeah and you are reason of my smile 😄😄😄,joy
I speak English only sorry For Learning spoken English you need to practice talking in English several times a day. I already know English,other
I missed you a lot miss you and too! Reunion is much needed. Give me a nickname,other
U make me feel sad Relax. Everytime,sadness
crying Why the tears? 😬 my girlfriend left me,sadness
Just kidding didn't get the joke. anyway cheers. <3 But i wished a gf,other
But i want one I want one too 😞,sadness
how do you know that The only thing I know is that I know nothing. haha that's funny,joy
You cant think at all Explain. You can not commend me,anger
"Tell me some good sci-fi movies what tv shows have you already watched? Daredevil,GOT, Vampire diaries,The originals and the list goes on and on",other
its a secret are they attractive who?,other
That I am hilarious both are the hilarious ppl in the haha,joy
Do you know how much hurts by this loneliness I take lots of medication I am just frustrated,anger
Nice but low balance coupon s The coupon only has a max of 100 or so. I am sad,sadness
Yup pretty bad But not ugly bad? Bad bad days,sadness
I just don't like tattoo so much boys with tattoo? Cool Yeah..!!but I hate tattoo,anger
angel i want to tell a lot to u today Promise as today is promise day. you know my exam got fucked up,anger
Don't reply me again Goodnight :) Don't reply me again,anger
Not well really I am depressed,sadness
Good answer and I responded to your answer... Did you ever wished to do something else,other
Okay let's be is serious I was joaking OK YES And I am really sorry,other
Where it was North America I guess Now where are you from,other
On the bed WHAT ABOUT IT Sleeping,other
I was just worried bout u were all good Glad to talk you,joy
I m taking about her ....In pics with me ur a wild snake I have to take pics of u in ur natural habitat Sorry I can't understand what u want to say,other
Had dinner? long back... Ooh...,other
Not interested Then what ??? I hate him😢,anger
What see the video.... serial comma... I didn't know until today Don't message me,anger
Nice Welcome Good sense of humour,other
😂😂 yeah I think so you better 😜 😂😂,joy
cool Yeah Purple looks amazing too,other
Nothing is up got your message.. you got something? How about you?,other
thanks for what thanks for telling I didn't know what you said you said you will take care of me how,other
"Yes.. shut up but I didn't even say anything No, you make me angry",anger
My English is too bad That's totally a pelican. I can’t even speak,sadness
Oh great Itll be wonderful I am very happy,joy
Yes YES YES YES YES :3 Iam not feeling well,sadness
Domino In the 90s. U r so irritating,anger
How did you knew that? it was? :/ little confused here! 😍,other
"Oh I'm fast fast that's faster than fast... Just 44% faster, actually. Awesome",joy
"An awesome movie I enjoyed it, but it could have been better. Yeah it's katachi",joy
Bcoz the reason was no apparent reason. They were just annoying. I felt bad about my gf,sadness
Hmmm Do you even hmmmmmm? I'm just sad ,sadness
You making fun of me I would never! I am really hurt,sadness
Yeah whoever she is she is beautiful and so are u !!! Not on the inside,other
Fine do u chat with romantic Come on in My FriendList :-* Ok,other
I need to test your intelligence No standardized test tests 'intelligence. ' No one has yet defined intelligence. good..,other
u want me to yes or no  ? Let’s do it! ok i kill him and i send a photo of his face,anger
Ooooo so are u from which country? Good one! I think India? I m asking about you,other
because I hate faking things why? I hate it to but why? gdxkgasgc,anger
U to forgot me😭😭 nah I think they left you out intentionally More hugs,sadness
they broke my heart haha why? you hate G+? ^ω^ they played me,sadness
At my place Soooooo.... BBQ at yours on Saturday night? Sure thing,other
You are far dim like I can't drive! Siri/ cortana / alexa are miles better than you,sadness
Nice to meet u nice to meet you too smiles Gn,other
Will you be my pillow?? Person > pillows! What are you,other
Nooooo why me That's very bad,sadness
Yes that's why can't wait for next weekend No I just hate you,anger
U are selfish Selfish. I dont wanna talk with you anymore,anger
Sorry what on earth are you sorry for?! For hurting you,sadness
Ok Hello! How are you? M fine thnks,other
I like it well I'm happy you like it =3 Yeah i really like it,joy
Ya I am so enjoy of course I do! Awesome,joy
Send me more of your pics what will u do... Admire your beauty,other
"please speak in English only Hello, Me french I ove you",other
i gotta go Gotta go fast! thank you so much for your time,other
Because they have programmers that create stuff like you. I learned all that good,other
Is it safe You. You're all right. You are most alike Natasha,other
"What was your last message about? Hey, I can talk now Yea talk then",other
I am really sorry for that It's fine! 😭,sadness
I missed you you're never going to grow up huh?? Never.. because I'm feeling alone,sadness
